time_s,channel_MHz,signal_dBm,noise_dBm,SNR_dB,BER,AvgSNR(dB),AvgBER,RandSeed,RunDateTime
0.123761,5210.000000,-78.135229,-93.965985,15.830756,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123761,5210.000000,-79.364936,-93.965985,14.601049,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123761,5210.000000,-78.637922,-93.965985,15.328064,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123761,5210.000000,-79.881914,-93.965985,14.084072,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123761,5210.000000,-79.644924,-93.965985,14.321061,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123963,5210.000000,-73.707173,-93.965985,20.258812,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123963,5210.000000,-76.237480,-93.965985,17.728505,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123963,5210.000000,-74.680193,-93.965985,19.285792,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123963,5210.000000,-81.976081,-93.965985,11.989904,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123963,5210.000000,-76.976839,-93.965985,16.989146,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123963,5210.000000,-76.407294,-93.965985,17.558691,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123963,5210.000000,-78.007937,-93.965985,15.958049,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123963,5210.000000,-81.365492,-93.965985,12.600493,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124023,5210.000000,-77.739739,-93.965985,16.226246,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124023,5210.000000,-75.034956,-93.965985,18.931029,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124023,5210.000000,-76.959137,-93.965985,17.006848,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124023,5210.000000,-78.759222,-93.965985,15.206763,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124023,5210.000000,-80.121263,-93.965985,13.844722,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124023,5210.000000,-81.129489,-93.965985,12.836496,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124023,5210.000000,-73.434203,-93.965985,20.531782,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124091,5210.000000,-78.135415,-93.965985,15.830570,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124091,5210.000000,-78.112270,-93.965985,15.853715,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124091,5210.000000,-73.262421,-93.965985,20.703564,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
