time_s,channel_MHz,Modulation,ConstellationSize,PhyRate_Mbps,signal_dBm,noise_dBm,SNR_dB,BER,RandSeed,RunDateTime
1.21519009e-01,5210,OFDM,2,6.00000000e+00,-7.42629328e+01,-9.39659852e+01,1.97030524e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21579008e-01,5210,OFDM,2,6.00000000e+00,-7.62148216e+01,-9.39659852e+01,1.77511636e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21579008e-01,5210,OFDM,2,6.00000000e+00,-7.41059236e+01,-9.39659852e+01,1.98600616e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21579008e-01,5210,OFDM,2,6.00000000e+00,-7.61662886e+01,-9.39659852e+01,1.77996966e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21579008e-01,5210,OFDM,2,6.00000000e+00,-7.60837141e+01,-9.39659852e+01,1.78822711e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21579008e-01,5210,OFDM,2,6.00000000e+00,-7.51986995e+01,-9.39659852e+01,1.87672856e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21579008e-01,5210,OFDM,2,6.00000000e+00,-8.04429571e+01,-9.39659852e+01,1.35230281e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21597012e-01,5210,OFDM,2,6.00000000e+00,-7.37393907e+01,-7.58691178e+01,2.12972709e+00,1.22542339e-07,-6.91171383e+01,12345,09-Dec-2025_16-49
1.21597012e-01,5210,OFDM,2,6.00000000e+00,-7.53471406e+01,-8.23912256e+01,7.04408493e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21597013e-01,5210,OFDM,2,6.00000000e+00,-7.49761064e+01,-8.24643237e+01,7.48821728e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21597013e-01,5210,OFDM,2,6.00000000e+00,-7.74107718e+01,-7.69725666e+01,-4.38205177e-01,6.86408890e-05,-4.16341710e+01,12345,09-Dec-2025_16-49
1.21597013e-01,5210,OFDM,2,6.00000000e+00,-7.53398053e+01,-7.85326432e+01,3.19283787e+00,1.75310154e-09,-8.75619293e+01,12345,09-Dec-2025_16-49
1.21597013e-01,5210,OFDM,2,6.00000000e+00,-7.26743559e+01,-7.72789402e+01,4.60458427e+00,1.12920783e-12,-1.19472261e+02,12345,09-Dec-2025_16-49
1.21597013e-01,5210,OFDM,2,6.00000000e+00,-7.21275773e+01,-8.08794851e+01,8.75190777e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21647008e-01,5210,OFDM,2,6.00000000e+00,-8.10475044e+01,-9.39659852e+01,1.29184808e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21647009e-01,5210,OFDM,2,6.00000000e+00,-7.75758046e+01,-9.39659852e+01,1.63901806e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21647009e-01,5210,OFDM,2,6.00000000e+00,-8.04306796e+01,-9.39659852e+01,1.35353056e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21647009e-01,5210,OFDM,2,6.00000000e+00,-7.48933193e+01,-9.39659852e+01,1.90726659e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21647009e-01,5210,OFDM,2,6.00000000e+00,-7.64085972e+01,-9.39659852e+01,1.75573880e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21647010e-01,5210,OFDM,2,6.00000000e+00,-8.01611846e+01,-9.39659852e+01,1.38048006e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21647011e-01,5210,OFDM,2,6.00000000e+00,-7.39860646e+01,-9.39659852e+01,1.99799206e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21728011e-01,5210,OFDM,2,6.00000000e+00,-7.85907029e+01,-8.10825276e+01,2.49182472e+00,3.20714874e-08,-7.49388090e+01,12345,09-Dec-2025_16-49
