time_s,channel_MHz,Modulation,ConstellationSize,PhyRate_Mbps,signal_dBm,noise_dBm,SNR_dB,BER,RandSeed,RunDateTime
0.121826,5210,OFDM,2,6.000000,-73.037032,-93.965985,20.928953,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-80.006130,-93.965985,13.959855,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-80.793198,-93.965985,13.172787,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-78.658750,-93.965985,15.307235,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-77.787199,-93.965985,16.178786,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-77.078427,-93.965985,16.887559,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-78.590703,-93.965985,15.375282,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-74.912135,-93.965985,19.053850,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-81.098275,-93.965985,12.867710,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-72.625876,-93.965985,21.340109,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-74.666984,-93.965985,19.299001,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-72.213116,-93.965985,21.752870,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-76.960781,-93.965985,17.005204,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-77.915146,-93.965985,16.050839,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-75.848712,-93.965985,18.117273,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-72.100069,-93.965985,21.865917,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-79.227640,-93.965985,14.738345,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-77.800578,-93.965985,16.165407,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-78.458291,-93.965985,15.507694,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-80.966916,-93.965985,12.999069,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-75.237719,-93.965985,18.728266,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-75.257072,-93.965985,18.708913,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-80.465221,-93.965985,13.500765,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-76.778786,-93.965985,17.187199,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-79.278926,-93.965985,14.687059,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-80.221691,-93.965985,13.744294,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-75.249334,-93.965985,18.716652,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-78.621577,-93.965985,15.344408,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-79.484788,-93.965985,14.481198,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-77.473038,-93.965985,16.492947,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-81.312071,-93.965985,12.653914,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-81.332519,-93.965985,12.633466,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-73.700180,-93.965985,20.265806,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-79.123097,-93.965985,14.842888,0.000000,12345,24-Oct-2025_09-34
0.121886,5210,OFDM,2,6.000000,-74.661777,-93.965985,19.304208,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-77.728253,-93.965985,16.237732,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-74.025503,-93.965985,19.940482,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-78.759309,-93.965985,15.206676,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-79.748976,-93.965985,14.217009,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-75.569411,-93.965985,18.396574,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-77.527850,-93.965985,16.438135,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-78.260370,-93.965985,15.705615,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-73.720319,-93.965985,20.245666,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-75.695013,-93.965985,18.270972,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-76.639858,-93.965985,17.326127,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-73.742908,-93.965985,20.223077,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-79.014119,-93.965985,14.951866,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-76.174989,-93.965985,17.790996,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-80.763381,-93.965985,13.202604,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-75.788527,-93.965985,18.177458,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-70.531962,-93.965985,23.434023,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-78.739974,-93.965985,15.226011,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-80.027172,-93.965985,13.938813,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-74.904140,-93.965985,19.061846,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-78.001108,-93.965985,15.964877,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-77.375760,-93.965985,16.590225,0.000000,12345,24-Oct-2025_09-34
0.121954,5210,OFDM,2,6.000000,-77.478335,-93.965985,16.487650,0.000000,12345,24-Oct-2025_09-34
0.122092,5210,OFDM,2,6.000000,-75.083249,-89.929088,14.845839,0.000000,12345,24-Oct-2025_09-34
0.122092,5210,OFDM,2,6.000000,-74.314942,-82.562356,8.247415,0.000000,12345,24-Oct-2025_09-34
0.122092,5210,OFDM,2,6.000000,-80.056216,-79.825224,-0.230992,0.000056,12345,24-Oct-2025_09-34
0.122092,5210,OFDM,2,6.000000,-78.726397,-81.858884,3.132487,0.000000,12345,24-Oct-2025_09-34
0.122092,5210,OFDM,2,6.000000,-75.297187,-78.805171,3.507984,0.000000,12345,24-Oct-2025_09-34
0.122092,5210,OFDM,2,6.000000,-76.053338,-80.121024,4.067686,0.000000,12345,24-Oct-2025_09-34
0.122156,5210,OFDM,2,6.000000,-73.797911,-74.067256,0.269344,0.000025,12345,24-Oct-2025_09-34
0.122156,5210,OFDM,2,6.000000,-75.543982,-74.977164,-0.566818,0.000075,12345,24-Oct-2025_09-34
0.122156,5210,OFDM,2,6.000000,-73.223006,-74.154151,0.931145,0.000005,12345,24-Oct-2025_09-34
0.122156,5210,OFDM,2,6.000000,-73.526165,-76.777438,3.251273,0.000000,12345,24-Oct-2025_09-34
0.122156,5210,OFDM,2,6.000000,-74.650064,-75.116567,0.466503,0.000016,12345,24-Oct-2025_09-34
0.122156,5210,OFDM,2,6.000000,-79.162235,-81.218474,2.056239,0.000000,12345,24-Oct-2025_09-34
0.122174,5210,OFDM,2,6.000000,-75.131337,-77.595853,2.464517,0.000000,12345,24-Oct-2025_09-34
0.122174,5210,OFDM,2,6.000000,-73.083992,-76.871123,3.787130,0.000000,12345,24-Oct-2025_09-34
0.122174,5210,OFDM,2,6.000000,-74.822681,-80.171970,5.349289,0.000000,12345,24-Oct-2025_09-34
0.122192,5210,OFDM,2,6.000000,-75.732837,-93.965985,18.233148,0.000000,12345,24-Oct-2025_09-34
0.122192,5210,OFDM,2,6.000000,-74.409173,-93.965985,19.556812,0.000000,12345,24-Oct-2025_09-34
0.122368,5210,OFDM,2,6.000000,-80.781106,-93.965985,13.184879,0.000000,12345,24-Oct-2025_09-34
0.122368,5210,OFDM,2,6.000000,-81.888077,-93.965985,12.077908,0.000000,12345,24-Oct-2025_09-34
0.122368,5210,OFDM,2,6.000000,-78.620673,-93.965985,15.345313,0.000000,12345,24-Oct-2025_09-34
0.122368,5210,OFDM,2,6.000000,-81.222443,-93.965985,12.743542,0.000000,12345,24-Oct-2025_09-34
0.122368,5210,OFDM,2,6.000000,-77.509970,-93.965985,16.456016,0.000000,12345,24-Oct-2025_09-34
0.122368,5210,OFDM,2,6.000000,-81.477257,-93.965985,12.488728,0.000000,12345,24-Oct-2025_09-34
0.122368,5210,OFDM,2,6.000000,-81.025340,-93.965985,12.940645,0.000000,12345,24-Oct-2025_09-34
0.122403,5210,OFDM,2,6.000000,-78.564944,-85.434952,6.870008,0.000000,12345,24-Oct-2025_09-34
0.122403,5210,OFDM,2,6.000000,-75.355863,-80.631811,5.275948,0.000000,12345,24-Oct-2025_09-34
